text,topic
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
"An act to amend Sections 5845, 5846, 5847, and 14154 of, and to add Sections 14131.10 and 14166.225 to, the Welfare and Institutions Code, relating to health, and declaring the urgency thereof, to take effect immediately.",Health
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
"An act to add Section 23606 to the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Business and Consumers
"An act to amend Section 13823.95 of the Penal Code, relating to victims of sexual assault.",Crime
"An act to amend Sections 14560, 14571.2, 14571.8, 14572, 14574, 14575, 14581, 14585, and 43021 of, to add Sections 14515.3, 14526.8, 14571.6.5, 14571.6.6, and 14571.6.7 to, and to amend, repeal, and add Section 14504 of, the Public Resources Code, relating to recycling, and making an appropriation therefor.",Environmental
"An act to amend Section 4648.35 of the Welfare and Institutions Code, relating to developmental services, and declaring the urgency thereof, to take effect immediately.",Business and Consumers
"8550-001-0942, and 8550-011-0942 of, Section 2.00 of that act, and by amending Sections 3.60, 3.90, 4.01, 4.12, 12.00, 12.32, 12.42, 17.00, 25.50, and 35.50 of, by adding Sections 3.55, 4.85, 8.55, 12.45, 12.50, 12.55, 13.10, 13.25, 15.30, 15.45, 17.50, 17.80, 18.00, 18.10, 18.20, 18.30, 18.40, 18.50, 18.55, 24.60, and 25.25 to, and by repealing Section 24.65 of, that act, relating to the State Budget, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.","Budget, Spending, and Taxes"
"An act to amend Sections 8879.65 and 16965 of the Government Code, to amend Sections 99312 and 99315 of, and to add and repeal Section 21683.3 of, the Public Utilities Code, to amend Sections 7102 and 7103 of the Revenue and Taxation Code, and to amend Sections 1678, 12814.5, 14900, 14900.1, 14901, 14902, 15250.6, 15250.7, 15255.1, and 15255.2 of the Vehicle Code, relating to transportation, and declaring the urgency thereof, to take effect immediately.",Transportation
"Section 679.02 of the Penal Code, to add Section 42102.5 to the Public Resources Code, to amend Sections 7204.3 and 7273 of the Revenue and Taxation Code, and to add Sections 10214.6 and 14022 to the Unemployment Insurance Code, relating to state government, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",State Agencies
"An act to amend Sections 18663, 19025, 19136, and 19136.1 of the Revenue and Taxation Code, and to amend Section 13020 of the Unemployment Insurance Code, relating to taxation.","Budget, Spending, and Taxes"
"An act to amend Section 18661 of, and to add Sections 6225 and 18664 to, the Revenue and Taxation Code, relating to taxation.","Budget, Spending, and Taxes"
"An act to amend Sections 12301.6, 12305.7, 12305.71, and 12305.82 of, and to add Sections 12301.15, 12301.22, 12301.24, 12301.25, 12305.73, 12305.85, and 12305.86 to, the Welfare and Institutions Code, relating to in-home supportive services.",Health
"an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Education
"An act to add and repeal Sections 6245 and 6246 of the Public Resources Code, relating to oil and gas leases.",Environmental
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
"An act to add Sections 14003, 41207.2, and 41207.3 to the Education Code, relating to education finance, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Education
"An act to add Section 6356.7 to the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Transportation
"An act to amend Sections 5080.31 and 5080.40 of, and to add Section 5080.30.5 to, the Public Resources Code, relating to state parks.",State Agencies
"An act to add Section 5023.7 to the Penal Code, relating to corrections.",Crime
"An act to add Section 19993.9 to the Government Code, relating to state-owned motor vehicles.",Transportation
"An act to amend Section 73 of the Streets and Highways Code, relating to highways.",State Agencies
An act relating to the Lieutenant Governor.,Executive Branch
"14550.6 to, and to repeal Section 14522.3, 14526.1, and 14550.5 of, the Welfare and Institutions Code, relating to health, and declaring the urgency thereof, to take effect immediately.",Health
"An act to add Section 14166.221 to, and to add Article 5.4 (commencing with Section 14180) to Chapter 7 of Part 3 of Division 9 of, the Welfare and Institutions Code, relating to Medi-Cal, and declaring the urgency thereof, to take effect immediately.",Health
"An act to amend Sections 11453 and 12201 of, to amend, repeal, and add Sections 11327.5 and 11454 of, and to add Section 11320.2 to, the Welfare and Institutions Code, relating to human services.",Public Services
"An act to amend Sections 95004, 95014, and 95020 of, and to add Section 95021 to, the Government Code, to amend Sections 4648, 4648.1, 4659, 4677, 4685, 4686, 4689, 4784, and 7502.5 of, to amend the heading of Chapter 4 (commencing with Section 4570) of Division 4.5 of, to amend and repeal Sections 4418.1 and 4570 of, and to add Sections 4435, 4571, 4648.35, 4648.5, 4648.6, 4686.2, 4686.5, 4688.1, 4688.2, 4688.3, 4689.05, and 4692 to, the Welfare and Institutions Code, relating to public social services, and declaring the urgency thereof, to take effect immediately.",Health
Relative to the economy.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
"and 4352 of, and to add Section 67 to, the Labor Code, to amend Section 1012.3 of, and to add Article 8.2 (commencing with Section 999.80) to Chapter 6 of Division 4 of, the Military and Veterans Code, to amend Section 679.02 of the Penal Code, to add Section 42102.5 to the Public Resources Code, to amend Sections 7204.3 and 7273 of the Revenue and Taxation Code, and to add Sections 10214.6 and 14022 to the Unemployment Insurance Code, relating to state government, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",State Agencies
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
"An act to add Section 2652.7 to the Penal Code, relating to prisoners.",Health
"An act to add Section 7073.5 to the Government Code, relating to economic development.",Commerce
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2009.,"Budget, Spending, and Taxes"
"An act to add Section 52052.7 to the Education Code, relating to school accountability.",Education
An act relating to public schools.,Education
"An act to amend Sections 47602, 47605, 47605.6, and 47607 of, and to add Section 47605.9 to, the Education Code, relating to charter schools.",Education
"An act relating to the Chino Valley Unified School District, and declaring the urgency thereof, to take effect immediately.",Education
"An act to amend Section 44227 of the Education Code, relating to teachers.",Education
"An act to add and repeal Section 44262.1 of the Education Code, relating to teacher credentialing.",Education
"An act to amend Section 44932 of, and to add Section 44660.1 to, the Education Code, relating to teachers.",Education
"An act to amend Sections 14502.1, 47602, 47605, 47605.6, 47607, 60601, 60603, 60604, 60605.6, 60606, 60640, 60643, 60643.1 of, to amend and repeal Section 60605 of, to add Sections 44665.5, 47630.6, and 60604.5 to, to add and repeal Sections 60605.7 and 60605.8 of, and to add and repeal Chapter 18 (commencing with Section 53100) of Part 28 of Division 4 of Title 2 of, the Education Code, relating to public schools.",Education
Relative to the Day of the Special Educator.,Education
"An act to amend Sections 52052.5, 60601, 60603, 60604, 60605.6, 60606, 60640, 60643, 60643.1, and 60900 of, to add Sections 10601.6, 10802.5, 10807, 49079.7, 44227.2, 60604.5, 60605.7, 60605.8, and 60605.9 to, and to add Chapter 18 (commencing with Section 53100) to Part 28 of Division 4 of Title 2 of, the Education Code, and to amend Section 1095 of the Unemployment Insurance Code, relating to public schools.",Education
